366,Earth Orange,FA9C1C
373,Sand Purple,"8,45E+86"
378,Sand Green,A0BCAC
379,Sand Blue,6074A1
383,Chrome Silver,E0E0E0
450,Fabuland Brown,B67B50
462,Medium Orange,FFA70B
484,Dark Orange,A95500
503,Very Light Gray,E6E3DA
1000,Glow in Dark White,D9D9D9
1001,Medium Violet,93910000
1002,Glitter Trans-Neon Green,C0F500
1003,Glitter Trans-Light Blue,68BCC5
1004,Trans-Flame Yellowish Orange,FCB76D
1005,Trans-Fire Yellow,FBE890
1006,Trans-Light Royal Blue,B4D4F7
1007,Reddish Lilac,8E5597
1008,Vintage Blue,039CBD
1009,Vintage Green,1E601E
1010,Vintage Red,CA1F08
1011,Vintage Yellow,F3C305
1012,Fabuland Orange,EF9121
1013,Modulex White,F4F4F4
1014,Modulex Light Bluish Gray,AfB5C7
1015,Modulex Light Gray,9C9C9C
1016,Modulex Charcoal Gray,595D60
1017,Modulex Tile Gray,6B5A5A
1018,Modulex Black,4D4C52
1019,Modulex Tile Brown,330000
1020,Modulex Terracotta,5C5030
1021,Modulex Brown,907450
1022,Modulex Buff,DEC69C
1023,Modulex Red,B52C20
1024,Modulex Pink Red,F45C40
1025,Modulex Orange,F47B30
1026,Modulex Light Orange,F7AD63
1027,Modulex Light Yellow,FFE371
1028,Modulex Ochre Yellow,FED557
1029,Modulex Lemon,BDC618
1030,Modulex Pastel Green,7DB538
1031,Modulex Olive Green,7C9051
1032,Modulex Aqua Green,27867E
1033,Modulex Teal Blue,467083
1034,Modulex Tile Blue,0057A6
1035,Modulex Medium Blue,61AFFF
1036,Modulex Pastel Blue,68AECE
1037,Modulex Violet,BD7D85
1038,Modulex Pink,F785B1
1039,Modulex Clear,FFFFFF
1040,Modulex Foil Dark Gray,595D60
1041,Modulex Foil Light Gray,9C9C9C
1042,Modulex Foil Dark Green,6400
1043,Modulex Foil Light Green,7DB538
1044,Modulex Foil Dark Blue,0057A6
1045,Modulex Foil Light Blue,68AECE
1046,Modulex Foil Violet,4B0082
1047,Modulex Foil Red,8B0000
1048,Modulex Foil Yellow,FED557
1049,Modulex Foil Orange,F7AD63
1050,Coral,FF698F
1051,Pastel Blue,5AC4DA
1052,Glitter Trans-Orange,F08F1C
1053,Opal Trans-Light Blue,68BCC5
1054,Opal Trans-Dark Pink,CE1D9B
1055,Opal Trans-Clear,FCFCFC
1056,Opal Trans-Brown,583927
1057,Trans-Light Bright Green,C9E788
1058,Trans-Light Green,94E5AB
1059,Opal Trans-Purple,8320B7
1060,Opal Trans-Bright Green,84B68D
1061,Opal Trans-Dark Blue,0020A0
1062,Vibrant Yellow,EBD800
1063,Pearl Copper,B46A00
1064,Fabuland Red,FF8014
1065,Reddish Gold,AC8247
1066,Curry,DD982E
1067,Dark Nougat,AD6140
1068,Bright Reddish Orange,EE5434
1069,Pearl Red,D60026
1070,Pearl Blue,0059A3
1071,Pearl Green,008E3C
1072,Pearl Brown,57392C
1073,Pearl Black,0A1327
1074,Duplo Blue,009ECE
1075,Duplo Medium Blue,3E95B6
1076,Duplo Lime,FFF230
1077,Fabuland Lime,78FC78
1078,Duplo Medium Green,468A5F
1079,Duplo Light Green,60BA76
1080,Light Tan,F3C988
1081,Rust Orange,872B17
1082,Clikits Pink,FE78B0
1083,Two-tone Copper,945148
1084,Two-tone Gold,AB673A
1085,Two-tone Silver,737271
1086,Pearl Lime,6A7944
1087,Duplo Pink,FF879C
1088,Medium Brown,755945
1089,Warm Tan,CCA373
1090,Duplo Turquoise,3FB69E
1091,Warm Yellowish Orange,FFCB78
1092,Metallic Copper,764D3B
1093,Light Lilac,9195CA
1094,Trans-Medium Purple,8D73B3
1095,Trans-Black,635F52
1096,Glitter Trans-Bright Green,D9E4A7
1097,Glitter Trans-Medium Purple,8D73B3
1098,Glitter Trans-Green,84B68D
1099,Glitter Trans-Pink,E4ADC8
1100,Clikits Yellow,FFCF0B
1101,Duplo Dark Purple,5F27AA
1102,Trans-Neon Red,FF0040
1103,Pearl Titanium,3E3C39
1104,HO Aqua,B3D7D1
1105,HO Azure,1591cb
1106,HO Blue-gray,354e5a
1107,HO Cyan,5b98b3
1108,HO Dark Aqua,a7dccf
1109,HO Dark Blue,0A3463
1110,HO Dark Gray,6D6E5C
1111,HO Dark Green,184632
1112,HO Dark Lime,b2b955
1113,HO Dark Red,631314
1114,HO Dark Sand Green,627a62
1115,HO Dark Turquoise,10929d
1116,HO Earth Orange,bb771b
1117,HO Gold,b4a774
1118,HO Light Aqua,a3d1c0
1119,HO Light Brown,965336
1120,HO Light Gold,cdc298
1121,HO Light Tan,f9f1c7
1122,HO Light Yellow,f5fab7
1123,HO Medium Blue,7396c8
1124,HO Medium Red,c01111
1125,HO Metallic Blue,0d4763
1126,HO Metallic Dark Gray,5e5e5e
1127,HO Metallic Green,879867
1128,HO Metallic Sand Blue,5f7d8c
1129,HO Olive Green,9B9A5A
1130,HO Rose,d06262
1131,HO Sand Blue,6e8aa6
1132,HO Sand Green,A0BCAC
1133,HO Tan,E4CD9E
1134,HO Titanium,616161
1135,Metal,A5ADB4
1136,Reddish Orange,CA4C0B
1137,Sienna Brown,915C3C
1138,Umber Brown,5E3F33
1139,Opal Trans-Yellow,F5CD2F
1140,Neon Orange,EC4612
1141,Neon Green,D2FC43
1142,Dark Olive Green,5d5c36
1143,Glitter Milky White,FFFFFF
1144,Chrome Red,CE3021
1145,Ochre Yellow,DD9E47
1146,Warm Pink,F6B7BF
1147,Blue Violet,A3A9FF
